place,event_type,model,segment_length,ebr,roc_auc_mse,pr_auc_score,run_id
metro_station,gunshot,conv-spad-256-64-100,4096,-6,0.5446532668114076,0.6691995326700838,0
metro_station,gunshot,conv-spad-256-64-100,4096,0,0.6028944687648595,0.7170014612007698,0
metro_station,gunshot,conv-spad-256-64-100,4096,6,0.7017972723017746,0.8022253674846119,0
metro_station,glassbreak,conv-spad-256-64-100,4096,-6,0.7419958481850243,0.8383173021693557,0
metro_station,glassbreak,conv-spad-256-64-100,4096,0,0.7775423528239084,0.8671539120066487,0
metro_station,glassbreak,conv-spad-256-64-100,4096,6,0.8201890806922506,0.8982984833203028,0
park,gunshot,conv-spad-256-64-100,4096,-6,0.6175426191915809,0.734280935759514,0
park,gunshot,conv-spad-256-64-100,4096,0,0.7212063819744821,0.8202131638441851,0
park,gunshot,conv-spad-256-64-100,4096,6,0.8379634313897693,0.9050621792942724,0
park,glassbreak,conv-spad-256-64-100,4096,-6,0.7857656951533503,0.8740651940830971,0
park,glassbreak,conv-spad-256-64-100,4096,0,0.8335165196579656,0.9078270891790868,0
park,glassbreak,conv-spad-256-64-100,4096,6,0.8846889383335199,0.9395497814475926,0
tram,gunshot,conv-spad-256-64-100,4096,-6,0.5738661559862327,0.6937279034438325,0
tram,gunshot,conv-spad-256-64-100,4096,0,0.69199139591204,0.7942211231094224,0
tram,gunshot,conv-spad-256-64-100,4096,6,0.8216378626501815,0.8939878360035101,0
tram,glassbreak,conv-spad-256-64-100,4096,-6,0.7676142401586902,0.8608711890637345,0
tram,glassbreak,conv-spad-256-64-100,4096,0,0.8219993055212301,0.8998999719993426,0
tram,glassbreak,conv-spad-256-64-100,4096,6,0.8822270867764374,0.937324924791503,0
bus,gunshot,conv-spad-256-64-100,4096,-6,0.7140194528113003,0.806369514800399,0
bus,gunshot,conv-spad-256-64-100,4096,0,0.8516135705640651,0.9101753090608852,0
bus,gunshot,conv-spad-256-64-100,4096,6,0.9335360165984996,0.9636079467938168,0
bus,glassbreak,conv-spad-256-64-100,4096,-6,0.8083461224664695,0.8891340800261656,0
bus,glassbreak,conv-spad-256-64-100,4096,0,0.8813149118278379,0.935974492060886,0
bus,glassbreak,conv-spad-256-64-100,4096,6,0.9380944719910352,0.9682053349662862,0
metro_station,gunshot,conv-spad-256-64-100,4096,-6,0.5493023250674045,0.6711600403001498,1
metro_station,gunshot,conv-spad-256-64-100,4096,0,0.6073861511079407,0.718715223010032,1
metro_station,gunshot,conv-spad-256-64-100,4096,6,0.7038980434826337,0.8022815106748004,1
metro_station,glassbreak,conv-spad-256-64-100,4096,-6,0.7465560089847635,0.8404957473171968,1
metro_station,glassbreak,conv-spad-256-64-100,4096,0,0.7801373314184815,0.8683070013585802,1
metro_station,glassbreak,conv-spad-256-64-100,4096,6,0.8208767079604963,0.8986535968030551,1
park,gunshot,conv-spad-256-64-100,4096,-6,0.6188486021723048,0.7338025479312535,1
park,gunshot,conv-spad-256-64-100,4096,0,0.7214807873304556,0.8195464953461125,1
park,gunshot,conv-spad-256-64-100,4096,6,0.8383078662440485,0.9046101184388446,1
park,glassbreak,conv-spad-256-64-100,4096,-6,0.785568354935595,0.8736912613196764,1
park,glassbreak,conv-spad-256-64-100,4096,0,0.8331158212571477,0.9073403029717708,1
park,glassbreak,conv-spad-256-64-100,4096,6,0.8845905046196783,0.9392556540976468,1
tram,gunshot,conv-spad-256-64-100,4096,-6,0.5731941141886877,0.692091702169334,1
tram,gunshot,conv-spad-256-64-100,4096,0,0.6918602735003964,0.7931639083735842,1
